merchant_id,merchant_category,merchant_age_days,country,payout_account_age_days,refund_rate,chargeback_rate,average_ticket_size,volume_growth_rate,risk_tier
merch_f5142e8ab368,gift_cards,712,US,1404,0.0686,0.0107,30.69,0.2338,low
merch_10449be37726,retail,427,US,1648,0.0554,0.0089,77.97,0.0718,medium
merch_26d576d350fd,marketplace,4063,GB,1250,0.0643,0.0136,23.14,0.0121,low
merch_1e336c972dc2,retail,2814,US,346,0.0449,0.0034,99.93,0.1579,medium
merch_379e585fbbf9,electronics,2885,DE,3896,0.0702,0.0123,101.95,0.3066,medium
merch_4e6870abfd29,gift_cards,214,IN,3458,0.0285,0.0009,66.71,0.2845,medium
merch_c206a31ff7e0,electronics,424,US,1697,0.0799,0.0047,62.63,0.1834,medium
merch_f1e98d17caf5,digital_goods,2402,IN,3369,0.0095,0.0084,75.74,0.086,low
merch_2f98a4660c29,retail,3232,SG,3592,0.0626,0.0079,32.36,0.0436,medium
merch_ecc107c778b7,retail,3990,GB,2584,0.0719,0.0017,224.97,0.2548,low
merch_34ac9ef571e6,travel,976,AE,382,0.0666,0.0119,187.38,0.3341,low
merch_59a2fe596426,travel,3952,SG,1173,0.0039,0.0064,155.18,0.2464,low
merch_56d0609fa109,gift_cards,2258,US,1323,0.0111,0.0087,75.37,0.0514,medium
merch_4567c4cde7b7,marketplace,2538,SG,1788,0.0221,0.0123,30.07,0.1388,low
merch_917948913213,gift_cards,2954,US,780,0.0315,0.0076,156.79,0.2489,medium
merch_5a748823564c,travel,2201,IN,3973,0.0634,0.0044,113.68,0.3483,medium
merch_ba500d83f947,marketplace,3960,DE,3469,0.0291,0.0043,22.62,0.14,medium
merch_247601281e67,gift_cards,4424,GB,2414,0.0212,0.0049,234.89,0.2499,low
merch_98652794d0c5,digital_goods,439,US,121,0.1313,0.0031,135.33,0.5974,high
merch_aa1bdce34b55,marketplace,17,AE,7,0.2145,0.0442,458.08,0.8161,low
merch_5243233c5946,electronics,125,AE,81,0.0827,0.0511,362.78,1.2488,high
merch_de23196a7ab1,electronics,1165,DE,722,0.2258,0.0063,177.52,1.3886,low
merch_05657ee44c8e,digital_goods,368,GB,223,0.0044,0.0005,138.45,0.1104,medium
merch_0d42ff7b178b,digital_goods,779,US,242,0.2417,0.039,337.08,1.3478,medium
merch_9f2c270ff25c,gift_cards,141,IN,39,0.1328,0.0682,109.85,0.2459,low
merch_bb5f7019dc52,financial_services,54,AE,15,0.224,0.0236,235.29,0.072,high
merch_bc55631047d1,gift_cards,1958,AE,329,0.0123,0.0124,235.44,0.1186,low
merch_ca4b24fb5238,financial_services,874,AE,527,0.1507,0.0295,598.1,0.651,low
merch_f1f3b223d11e,marketplace,3503,GB,1582,0.0001,0.0082,113.54,0.0907,low
merch_c9c9852cbc5a,gift_cards,204,GB,142,0.0726,0.0597,118.16,0.783,medium
merch_0f9a975bf07e,digital_goods,1830,IN,265,0.0792,0.0082,149.48,0.1943,medium
merch_51e7e12febed,digital_goods,889,SG,473,0.1031,0.0331,437.08,0.9608,high
merch_dfff099a0b5a,digital_goods,2883,GB,2578,0.0166,0.0114,62.45,0.3261,low
merch_65a75315ddf1,electronics,392,DE,91,0.229,0.0305,250.95,0.2135,high
merch_e24b8ad8a7ee,marketplace,2252,AE,980,0.0697,0.0016,125.17,0.1698,low
merch_de7042d10a23,marketplace,894,SG,666,0.1387,0.0611,442.6,0.7597,high
merch_2ba8323f1861,electronics,107,IN,24,0.0211,0.0515,541.71,0.7083,high
merch_e18f2c1bdfea,marketplace,653,SG,238,0.0134,0.0095,216.1,0.2442,low
merch_6103eb5e3f08,financial_services,2254,DE,535,0.0098,0.0071,131.71,0.2736,medium
merch_390e4af8327f,financial_services,2502,US,1905,0.0246,0.0112,28.51,0.235,low
merch_aea7a0985250,financial_services,1769,DE,1337,0.0522,0.0022,208.8,0.1596,low
merch_61af69927857,financial_services,3695,IN,582,0.0449,0.004,162.53,0.2219,low
merch_bf803dfe8309,financial_services,232,AE,47,0.1982,0.0065,230.76,0.2708,high
