merchant_id,merchant_category,merchant_age_days,country,payout_account_age_days,refund_rate,chargeback_rate,average_ticket_size,volume_growth_rate,risk_tier
merch_c4a6ee69538d,financial_services,3691,AE,625,0.0688,0.0012,113.87,0.0475,low
merch_202f0e67d841,electronics,4680,DE,562,0.0205,0.0016,181.07,0.1859,low
merch_d1e783943126,gift_cards,3151,US,1827,0.0306,0.0053,147.98,0.2746,medium
merch_a0b1ea8d7806,gift_cards,2276,US,793,0.0341,0.0034,71.88,0.3439,medium
merch_3cd464a39f2b,retail,1098,US,2610,0.0504,0.0131,154.62,0.1397,low
merch_12710bd7258e,gift_cards,4512,SG,3058,0.0445,0.0131,132.89,0.1943,medium
merch_9f7557ee643b,marketplace,3131,IN,3050,0.0101,0.0059,20.19,0.3459,medium
merch_c6075a5b1c64,marketplace,4867,SG,926,0.0361,0.0083,237.96,0.1148,medium
merch_0c19e30ac464,financial_services,4963,GB,3582,0.0729,0.0065,101.79,0.2005,medium
merch_81376d24f7b6,retail,2906,AE,2465,0.0184,0.0029,33.32,0.2758,medium
merch_451f8b6d47b1,travel,329,GB,2844,0.0519,0.0038,56.14,0.174,medium
merch_a487eff53f55,financial_services,4612,AE,240,0.0154,0.0027,132.19,0.2607,low
merch_42f03ce9057a,gift_cards,1900,DE,751,0.0741,0.0049,115.55,0.3378,medium
merch_8df644f7d643,marketplace,3152,DE,1567,0.0631,0.0053,218.3,0.0939,low
merch_2ed3d0fc7dc0,financial_services,2678,AE,2852,0.0255,0.0014,186.81,0.0498,low
merch_ecd7289f56b5,financial_services,868,US,232,0.0001,0.0031,191.78,0.0515,medium
merch_4d5695146b88,gift_cards,3018,US,634,0.0028,0.0009,228.88,0.1856,low
merch_ab2990e14cf7,gift_cards,1124,US,3788,0.0616,0.0121,234.05,0.2855,low
merch_082f537e8957,marketplace,9,AE,4,0.2145,0.0442,458.08,0.8161,low
merch_b9e9403ecd28,electronics,114,AE,74,0.0827,0.0511,362.78,1.2488,high
merch_ed137b5b3ee8,electronics,1069,DE,662,0.2258,0.0063,177.52,1.3886,low
merch_2e27ea5ea9e8,electronics,549,US,425,0.0425,0.0736,326.11,1.3802,low
merch_a0ddc4613f06,digital_goods,519,US,161,0.2417,0.039,337.08,1.3478,medium
merch_1d27e8eec1ba,gift_cards,146,IN,40,0.1328,0.0682,109.85,0.2459,low
merch_fae4109ac958,financial_services,40,AE,11,0.224,0.0236,235.29,0.072,high
merch_92d90ab0fdf9,retail,1347,US,1190,0.0866,0.0159,583.98,0.4248,high
merch_ef2e3beb31ff,financial_services,874,AE,527,0.1507,0.0295,598.1,0.651,low
merch_854cfce8528e,travel,738,GB,333,0.0103,0.044,274.01,0.2399,low
merch_eb0f9185c24d,electronics,204,DE,42,0.2214,0.0054,47.19,0.5133,low
merch_32ab937b3d81,gift_cards,1400,IN,951,0.0234,0.0792,338.36,0.6445,high
merch_f2410f560e15,digital_goods,813,SG,433,0.1031,0.0331,437.08,0.9608,high
merch_a0bd674af41e,digital_goods,404,IN,48,0.1475,0.0053,357.56,0.2534,high
merch_6891e077d8a4,digital_goods,354,IN,182,0.155,0.0309,586.64,1.1163,high
merch_6e94205bf78a,marketplace,383,AE,167,0.2192,0.0093,304.0,0.5564,low
merch_65e575e6c786,marketplace,959,SG,715,0.1387,0.0611,442.6,0.7597,high
merch_2afd205e97c7,electronics,107,IN,24,0.0211,0.0515,541.71,0.7083,high
merch_1dbf96c712e4,travel,599,GB,363,0.2245,0.0554,388.17,0.5755,medium
merch_0d559fd23bfe,gift_cards,458,IN,363,0.0173,0.0382,30.97,0.9696,high
merch_967595106db8,financial_services,441,DE,152,0.1891,0.0057,403.75,1.2063,low
merch_d64339c14900,financial_services,300,DE,264,0.0292,0.0339,134.99,0.0768,medium
merch_239741acddb8,financial_services,652,IN,103,0.1446,0.0219,400.29,0.8016,low
merch_7e05912ad9ed,financial_services,213,AE,43,0.1982,0.0065,230.76,0.2708,high
merch_870518a3b699,financial_services,257,US,163,0.0791,0.0135,125.06,1.3287,medium
