transaction_id,amount,risk_score,event_hour,billing_shipping_mismatch,customer_transaction_count,merchant_transaction_count,device_transaction_count,session_transaction_count,ip_transaction_count,customer_account_age_days,customer_historical_decline_rate,customer_historical_spend_mean,merchant_age_days,merchant_refund_rate,merchant_chargeback_rate,merchant_volume_growth_rate,device_ip_reputation_score,device_first_seen_days_ago,device_failed_login_count,label,attack_bucket,attack_subtype,currency_code,channel_code,rail_code,transaction_type_code,status_code,billing_country_code,shipping_country_code,merchant_category_code,payment_method_type_code,auth_result_code
txn_c4a6ee69538d,32.69,0.1829,0,0,4,6,5,1,1,653.0,0.0414,238.6,3691.0,0.0688,0.0012,0.0475,0.2199,952.0,1.0,0,,,2,10,3,1,0,0,0,1,1,0
txn_202f0e67d841,15.74,0.1927,0,0,4,6,5,1,1,653.0,0.0414,238.6,4680.0,0.0205,0.0016,0.1859,0.2199,952.0,1.0,0,,,2,10,1,1,0,1,1,4,3,0
txn_d1e783943126,63.3,0.2091,0,0,4,6,5,1,2,653.0,0.0414,238.6,3151.0,0.0306,0.0053,0.2746,0.2199,952.0,1.0,0,,,4,8,3,1,0,5,5,0,3,0
txn_a0b1ea8d7806,26.64,0.1847,1,0,4,6,5,1,2,653.0,0.0414,238.6,2276.0,0.0341,0.0034,0.3439,0.2199,952.0,1.0,0,,,1,6,4,1,0,5,5,2,3,0
txn_3cd464a39f2b,62.84,0.1848,1,0,4,6,5,1,3,1600.0,0.0578,84.83,1098.0,0.0504,0.0131,0.1397,0.2199,952.0,1.0,0,,,0,8,4,1,0,5,5,2,2,0
txn_12710bd7258e,23.82,0.0327,1,0,4,6,5,1,1,1600.0,0.0578,84.83,4512.0,0.0445,0.0131,0.1943,0.227,106.0,0.0,0,,,3,8,3,1,0,4,4,3,0,0
txn_9f7557ee643b,27.35,0.137,1,0,4,6,5,1,1,1600.0,0.0578,84.83,3131.0,0.0101,0.0059,0.3459,0.227,106.0,0.0,0,,,0,8,4,1,0,3,3,6,1,0
txn_c6075a5b1c64,22.81,0.2611,1,0,4,6,5,1,2,1600.0,0.0578,84.83,4867.0,0.0361,0.0083,0.1148,0.227,106.0,0.0,0,,,1,8,1,1,0,4,4,5,3,0
txn_0c19e30ac464,88.78,0.087,1,0,4,6,5,1,1,2839.0,0.049,174.98,4963.0,0.0729,0.0065,0.2005,0.227,106.0,0.0,0,,,4,8,4,1,0,2,2,5,0,0
txn_81376d24f7b6,10.76,0.2485,3,0,4,6,5,1,1,2839.0,0.049,174.98,2906.0,0.0184,0.0029,0.2758,0.227,106.0,0.0,0,,,2,4,3,1,0,0,0,6,3,0
txn_451f8b6d47b1,23.86,0.2077,2,0,4,5,5,1,3,2839.0,0.049,174.98,329.0,0.0519,0.0038,0.174,0.0213,772.0,0.0,0,,,4,8,1,1,0,2,2,3,1,0
txn_a487eff53f55,17.75,0.1738,2,0,4,5,5,1,1,2839.0,0.049,174.98,4612.0,0.0154,0.0027,0.2607,0.0213,772.0,0.0,0,,,3,10,4,1,0,0,0,3,1,0
txn_42f03ce9057a,9.99,0.1327,1,0,4,5,5,1,1,1595.0,0.0523,253.25,1900.0,0.0741,0.0049,0.3378,0.0213,772.0,0.0,0,,,0,8,4,1,0,1,1,1,2,0
txn_8df644f7d643,19.22,0.2156,1,0,4,5,5,1,2,1595.0,0.0523,253.25,3152.0,0.0631,0.0053,0.0939,0.0213,772.0,0.0,0,,,4,6,3,1,0,1,1,2,0,0
