transaction_id,fraud_score,prediction,ml_fraud_score,ml_prediction,decision_engine,llm_reviewed,llm_provider,llm_semantic_risk_score,llm_novelty_score,llm_recommendation,llm_rationale,llm_risk_indicators,llm_fallback,label,attack_bucket,attack_subtype,reason_codes
txn_18c95871a86d,0.310289,1,0.26327,0,hybrid_ml_llm,1,local_lmstudio,0.42,0.34,allow,"The transaction involves a higher-than-usual amount for this customer, which might suggest an unusual purchase pattern. However, the device and IP reputation scores are low-risk, and there's no significant velocity in transactions that would raise concerns.",amount deviation from customer history;billing_shipping_mismatch,,0,,,amount deviation from customer history lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_8c065a432bab,0.35641131659391945,1,0.356411,1,ml_only,0,,,,,,,,0,,,IP velocity lowers risk;session velocity lowers risk;customer decline history lowers risk
txn_499abb13dae4,0.3121032628102101,1,0.312103,1,ml_only,0,,,,,,,,0,,,session velocity lowers risk;customer decline history lowers risk;customer one-hour velocity lowers risk
txn_7af254e2734b,0.38108661370386504,1,0.381087,1,ml_only,0,,,,,,,,0,,,session velocity lowers risk;customer one-hour velocity lowers risk;device history raises risk
txn_800538db5f19,0.5552613752287805,1,0.555261,1,ml_only,0,,,,,,,,0,,,session velocity lowers risk;customer one-hour velocity lowers risk;merchant age raises risk
txn_a59d36a60f81,0.4893853133414085,1,0.489385,1,ml_only,0,,,,,,,,0,,,session velocity lowers risk;IP velocity lowers risk;high generated risk score raises risk
txn_e058543479c0,0.281183,1,0.264548,0,hybrid_ml_llm,1,local_lmstudio,0.32,0.29,review,Low novelty score indicates a relatively conventional fraud scenario. The risk is moderate due to the low transaction amount and the established customer account.,low fraud score;moderate risk,,0,,,session velocity lowers risk;customer one-hour velocity lowers risk;customer velocity lowers risk
txn_3e5f49b1ef69,0.13211909075302808,0,0.132119,0,ml_only,0,,,,,,,,1,credential_based_fraud,card_testing,customer payment cadence lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_1f7aedc6a14c,0.19151743601179305,0,0.191517,0,ml_only,0,,,,,,,,1,credential_based_fraud,card_not_present,amount deviation from customer history lowers risk;high generated risk score raises risk;IP velocity lowers risk
txn_212b36bfaa14,0.24694695038911152,0,0.246947,0,ml_only,0,,,,,,,,1,credential_based_fraud,merchant_admin_takeover,transaction_type_code lowers risk;customer decline history raises risk;customer payment cadence lowers risk
txn_69605cc2d2ec,0.0505414521915962,0,0.050541,0,ml_only,0,,,,,,,,1,credential_based_fraud,credential_stuffing,customer payment cadence lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_af774f5189e1,0.24622022180876474,0,0.24622,0,ml_only,0,,,,,,,,1,identity_onboarding_fraud,mule_account_creation,customer decline history raises risk;customer payment cadence lowers risk;session velocity lowers risk
txn_1d18f6a41dd5,0.20822237107644886,0,0.208222,0,ml_only,0,,,,,,,,1,identity_onboarding_fraud,stolen_identity_signup,customer payment cadence lowers risk;session velocity lowers risk;customer decline history raises risk
txn_682218f258c3,0.14444799277378076,0,0.144448,0,ml_only,0,,,,,,,,1,identity_onboarding_fraud,synthetic_identity,customer payment cadence lowers risk;session velocity lowers risk;high generated risk score raises risk
txn_aa9fe97c512c,0.03587217097769567,0,0.035872,0,ml_only,0,,,,,,,,1,merchant_ecosystem_abuse,bust_out_merchant,customer payment cadence lowers risk;merchant age lowers risk;IP velocity lowers risk
txn_98587f09c06a,0.11502803158574151,0,0.115028,0,ml_only,0,,,,,,,,1,merchant_ecosystem_abuse,mule_laundering,transaction_type_code raises risk;customer payment cadence lowers risk;IP velocity lowers risk
txn_b0ece5fa3599,0.060471660904913495,0,0.060472,0,ml_only,0,,,,,,,,1,merchant_ecosystem_abuse,triangulation_fraud,customer payment cadence lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_0a5d65e3b956,0.12403858632936149,0,0.124039,0,ml_only,0,,,,,,,,1,post_transaction_abuse,chargeback_fraud,customer payment cadence lowers risk;transaction_type_code raises risk;high generated risk score lowers risk
txn_8e53d9278817,0.1571647829085993,0,0.157165,0,ml_only,0,,,,,,,,1,post_transaction_abuse,return_policy_abuse,customer payment cadence lowers risk;transaction_type_code raises risk;IP velocity lowers risk
txn_9f8359313748,0.04412468607551745,0,0.044125,0,ml_only,0,,,,,,,,1,social_engineering_payment_fraud,ai_impersonation,customer payment cadence lowers risk;high generated risk score lowers risk;IP velocity raises risk
txn_68f6d07f4c51,0.028846387783866348,0,0.028846,0,ml_only,0,,,,,,,,1,social_engineering_payment_fraud,executive_impersonation,unusual amount raises risk;customer payment cadence lowers risk;merchant age lowers risk
txn_94ab095c1142,0.02350760880208547,0,0.023508,0,ml_only,0,,,,,,,,1,social_engineering_payment_fraud,ai_impersonation,merchant age lowers risk;customer payment cadence lowers risk;IP velocity lowers risk
txn_e135d644c822,0.03590319282734161,0,0.035903,0,ml_only,0,,,,,,,,1,post_transaction_abuse,non_delivery_claim,customer payment cadence lowers risk;merchant age lowers risk;transaction_type_code raises risk
txn_d1ee388dc12f,0.06606944477092501,0,0.066069,0,ml_only,0,,,,,,,,1,post_transaction_abuse,non_delivery_claim,amount deviation from customer history lowers risk;merchant age lowers risk;transaction_type_code raises risk
txn_c705a1fc2916,0.17978388600726417,0,0.179784,0,ml_only,0,,,,,,,,1,post_transaction_abuse,non_delivery_claim,merchant age lowers risk;transaction_type_code raises risk;high generated risk score lowers risk
txn_264eb6aecc33,0.06430284039619433,0,0.064303,0,ml_only,0,,,,,,,,1,credential_based_fraud,consumer_account_takeover,customer payment cadence lowers risk;IP velocity lowers risk;session velocity lowers risk
txn_b70d0352de1a,0.2335177810247338,0,0.233518,0,ml_only,0,,,,,,,,1,credential_based_fraud,consumer_account_takeover,high generated risk score lowers risk;session velocity lowers risk;customer one-hour velocity lowers risk
txn_12cb9c3cb0c7,0.014485108839973332,0,0.014485,0,ml_only,0,,,,,,,,1,credential_based_fraud,merchant_admin_takeover,transaction_type_code lowers risk;customer payment cadence lowers risk;IP velocity lowers risk
txn_60168c657567,0.05702852742035855,0,0.057029,0,ml_only,0,,,,,,,,1,credential_based_fraud,merchant_admin_takeover,transaction_type_code lowers risk;IP velocity lowers risk;customer decline history lowers risk
