attack_subtype,row_count,positive_count,negative_count,threshold,precision,recall,f1,accuracy,false_positive_rate,true_positive,true_negative,false_positive,false_negative,roc_auc,pr_auc
ai_impersonation,9,9,0,0.14,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
alternative_refund_abuse,10,10,0,0.14,1.0,1.0,1.0,1.0,0.0,10,0,0,0,0.0,1.0
authorized_push_payment_scam,10,10,0,0.14,1.0,1.0,1.0,1.0,0.0,10,0,0,0,0.0,1.0
benign,50,0,50,0.14,0.0,0.0,0.0,0.96,0.04,0,48,2,0,0.0,0.0
business_email_compromise,8,8,0,0.14,1.0,1.0,1.0,1.0,0.0,8,0,0,0,0.0,1.0
bust_out_merchant,55,55,0,0.14,1.0,1.0,1.0,1.0,0.0,55,0,0,0,0.0,1.0
card_not_present,26,26,0,0.14,1.0,1.0,1.0,1.0,0.0,26,0,0,0,0.0,1.0
card_testing,133,133,0,0.14,1.0,1.0,1.0,1.0,0.0,133,0,0,0,0.0,1.0
chargeback_fraud,14,14,0,0.14,1.0,1.0,1.0,1.0,0.0,14,0,0,0,0.0,1.0
consumer_account_takeover,13,13,0,0.14,1.0,1.0,1.0,1.0,0.0,13,0,0,0,0.0,1.0
credential_stuffing,300,300,0,0.14,1.0,1.0,1.0,1.0,0.0,300,0,0,0,0.0,1.0
executive_impersonation,3,3,0,0.14,1.0,1.0,1.0,1.0,0.0,3,0,0,0,0.0,1.0
fraudulent_merchant_onboarding,36,36,0,0.14,1.0,1.0,1.0,1.0,0.0,36,0,0,0,0.0,1.0
gift_card_abuse,69,69,0,0.14,1.0,1.0,1.0,1.0,0.0,69,0,0,0,0.0,1.0
marketplace_seller_fraud,60,60,0,0.14,1.0,1.0,1.0,1.0,0.0,60,0,0,0,0.0,1.0
merchant_admin_takeover,7,7,0,0.14,1.0,0.714286,0.833334,0.714286,0.0,5,0,0,2,0.0,1.0
mule_account_creation,57,57,0,0.14,1.0,1.0,1.0,1.0,0.0,57,0,0,0,0.0,1.0
mule_laundering,98,98,0,0.14,1.0,1.0,1.0,1.0,0.0,98,0,0,0,0.0,1.0
non_delivery_claim,13,13,0,0.14,1.0,1.0,1.0,1.0,0.0,13,0,0,0,0.0,1.0
refund_fraud,12,12,0,0.14,1.0,1.0,1.0,1.0,0.0,12,0,0,0,0.0,1.0
return_policy_abuse,19,19,0,0.14,1.0,1.0,1.0,1.0,0.0,19,0,0,0,0.0,1.0
stolen_identity_signup,22,22,0,0.14,1.0,1.0,1.0,1.0,0.0,22,0,0,0,0.0,1.0
synthetic_business,15,15,0,0.14,1.0,1.0,1.0,1.0,0.0,15,0,0,0,0.0,1.0
synthetic_identity,12,12,0,0.14,1.0,1.0,1.0,1.0,0.0,12,0,0,0,0.0,1.0
triangulation_fraud,41,41,0,0.14,1.0,1.0,1.0,1.0,0.0,41,0,0,0,0.0,1.0
vendor_rerouting,8,8,0,0.14,1.0,1.0,1.0,1.0,0.0,8,0,0,0,0.0,1.0
