attack_subtype,row_count,positive_count,negative_count,threshold,precision,recall,f1,accuracy,false_positive_rate,true_positive,true_negative,false_positive,false_negative,roc_auc,pr_auc
ai_impersonation,6,6,0,0.27,1.0,0.833333,0.909091,0.833333,0.0,5,0,0,1,0.0,1.0
alternative_refund_abuse,9,9,0,0.27,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
authorized_push_payment_scam,9,9,0,0.27,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
benign,500,0,500,0.27,0.0,0.0,0.0,0.988,0.012,0,494,6,0,0.0,0.0
business_email_compromise,9,9,0,0.27,1.0,0.888889,0.941177,0.888889,0.0,8,0,0,1,0.0,1.0
bust_out_merchant,55,55,0,0.27,1.0,0.981818,0.990826,0.981818,0.0,54,0,0,1,0.0,1.0
card_not_present,31,31,0,0.27,1.0,0.967742,0.983607,0.967742,0.0,30,0,0,1,0.0,1.0
card_testing,85,85,0,0.27,1.0,0.988235,0.994083,0.988235,0.0,84,0,0,1,0.0,1.0
chargeback_fraud,10,10,0,0.27,1.0,0.9,0.947368,0.9,0.0,9,0,0,1,0.0,1.0
consumer_account_takeover,17,17,0,0.27,1.0,1.0,1.0,1.0,0.0,17,0,0,0,0.0,1.0
credential_stuffing,306,306,0,0.27,1.0,0.993464,0.996721,0.993464,0.0,304,0,0,2,0.0,1.0
executive_impersonation,4,4,0,0.27,1.0,0.75,0.857143,0.75,0.0,3,0,0,1,0.0,1.0
fraudulent_merchant_onboarding,39,39,0,0.27,1.0,1.0,1.0,1.0,0.0,39,0,0,0,0.0,1.0
gift_card_abuse,86,86,0,0.27,1.0,1.0,1.0,1.0,0.0,86,0,0,0,0.0,1.0
marketplace_seller_fraud,71,71,0,0.27,1.0,1.0,1.0,1.0,0.0,71,0,0,0,0.0,1.0
merchant_admin_takeover,7,7,0,0.27,1.0,0.857143,0.923077,0.857143,0.0,6,0,0,1,0.0,1.0
mule_account_creation,40,40,0,0.27,1.0,0.975,0.987342,0.975,0.0,39,0,0,1,0.0,1.0
mule_laundering,72,72,0,0.27,1.0,0.986111,0.993007,0.986111,0.0,71,0,0,1,0.0,1.0
non_delivery_claim,16,16,0,0.27,1.0,1.0,1.0,1.0,0.0,16,0,0,0,0.0,1.0
refund_fraud,11,11,0,0.27,1.0,1.0,1.0,1.0,0.0,11,0,0,0,0.0,1.0
return_policy_abuse,21,21,0,0.27,1.0,0.952381,0.97561,0.952381,0.0,20,0,0,1,0.0,1.0
stolen_identity_signup,16,16,0,0.27,1.0,0.9375,0.967742,0.9375,0.0,15,0,0,1,0.0,1.0
synthetic_business,12,12,0,0.27,1.0,1.0,1.0,1.0,0.0,12,0,0,0,0.0,1.0
synthetic_identity,11,11,0,0.27,1.0,0.909091,0.952381,0.909091,0.0,10,0,0,1,0.0,1.0
triangulation_fraud,41,41,0,0.27,1.0,0.97561,0.987654,0.97561,0.0,40,0,0,1,0.0,1.0
vendor_rerouting,7,7,0,0.27,1.0,1.0,1.0,1.0,0.0,7,0,0,0,0.0,1.0
