attack_subtype,row_count,positive_count,negative_count,threshold,precision,recall,f1,accuracy,false_positive_rate,true_positive,true_negative,false_positive,false_negative,roc_auc,pr_auc
ai_impersonation,15,15,0,0.05,1.0,1.0,1.0,1.0,0.0,15,0,0,0,0.0,1.0
alternative_refund_abuse,11,11,0,0.05,1.0,1.0,1.0,1.0,0.0,11,0,0,0,0.0,1.0
authorized_push_payment_scam,9,9,0,0.05,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
benign,100,0,100,0.05,0.0,0.0,0.0,1.0,0.0,0,100,0,0,0.0,0.0
business_email_compromise,8,8,0,0.05,1.0,1.0,1.0,1.0,0.0,8,0,0,0,0.0,1.0
bust_out_merchant,141,141,0,0.05,1.0,1.0,1.0,1.0,0.0,141,0,0,0,0.0,1.0
card_not_present,27,27,0,0.05,1.0,1.0,1.0,1.0,0.0,27,0,0,0,0.0,1.0
card_testing,137,137,0,0.05,1.0,1.0,1.0,1.0,0.0,137,0,0,0,0.0,1.0
chargeback_fraud,14,14,0,0.05,1.0,1.0,1.0,1.0,0.0,14,0,0,0,0.0,1.0
consumer_account_takeover,16,16,0,0.05,1.0,1.0,1.0,1.0,0.0,16,0,0,0,0.0,1.0
credential_stuffing,240,240,0,0.05,1.0,1.0,1.0,1.0,0.0,240,0,0,0,0.0,1.0
executive_impersonation,5,5,0,0.05,1.0,1.0,1.0,1.0,0.0,5,0,0,0,0.0,1.0
fraudulent_merchant_onboarding,38,38,0,0.05,1.0,1.0,1.0,1.0,0.0,38,0,0,0,0.0,1.0
gift_card_abuse,89,89,0,0.05,1.0,1.0,1.0,1.0,0.0,89,0,0,0,0.0,1.0
marketplace_seller_fraud,57,57,0,0.05,1.0,1.0,1.0,1.0,0.0,57,0,0,0,0.0,1.0
merchant_admin_takeover,14,14,0,0.05,1.0,1.0,1.0,1.0,0.0,14,0,0,0,0.0,1.0
mule_account_creation,45,45,0,0.05,1.0,1.0,1.0,1.0,0.0,45,0,0,0,0.0,1.0
mule_laundering,104,104,0,0.05,1.0,1.0,1.0,1.0,0.0,104,0,0,0,0.0,1.0
non_delivery_claim,12,12,0,0.05,1.0,1.0,1.0,1.0,0.0,12,0,0,0,0.0,1.0
refund_fraud,8,8,0,0.05,1.0,1.0,1.0,1.0,0.0,8,0,0,0,0.0,1.0
return_policy_abuse,17,17,0,0.05,1.0,1.0,1.0,1.0,0.0,17,0,0,0,0.0,1.0
stolen_identity_signup,17,17,0,0.05,1.0,1.0,1.0,1.0,0.0,17,0,0,0,0.0,1.0
synthetic_business,15,15,0,0.05,1.0,1.0,1.0,1.0,0.0,15,0,0,0,0.0,1.0
synthetic_identity,24,24,0,0.05,1.0,1.0,1.0,1.0,0.0,24,0,0,0,0.0,1.0
triangulation_fraud,63,63,0,0.05,1.0,1.0,1.0,1.0,0.0,63,0,0,0,0.0,1.0
vendor_rerouting,9,9,0,0.05,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
