merchant_id,merchant_category,merchant_age_days,country,payout_account_age_days,refund_rate,chargeback_rate,average_ticket_size,volume_growth_rate,risk_tier
merch_f7006a27825f,travel,1680,GB,3569,0.0785,0.0041,62.1,0.1082,medium
merch_ea70572cbfcd,gift_cards,2431,SG,1921,0.068,0.0059,220.54,0.2311,medium
merch_19953660094d,marketplace,1962,GB,787,0.0022,0.0013,119.16,0.0899,low
merch_3224fc12eb71,retail,3207,IN,672,0.0517,0.0091,187.34,0.1598,low
merch_0159001eb6b9,marketplace,2963,US,257,0.0402,0.0094,41.07,0.2588,low
merch_4e278b64819e,gift_cards,2057,DE,1574,0.064,0.0055,107.12,0.1768,low
merch_db79c1c9230b,electronics,446,SG,1767,0.0096,0.0127,94.54,0.03,medium
merch_b8ffc7581114,digital_goods,1815,AE,899,0.0239,0.0094,232.04,0.224,low
merch_75da955712dd,travel,2449,DE,713,0.0193,0.0128,79.19,0.3348,medium
merch_27f5627dfa11,marketplace,3082,IN,3926,0.0612,0.0127,102.36,0.3139,low
merch_eae8fb9aa179,travel,1470,SG,1536,0.0328,0.0024,28.54,0.1904,medium
merch_8a7e7817bb1e,gift_cards,2977,GB,2276,0.0069,0.0029,39.43,0.0634,low
merch_68a18240dafd,financial_services,957,IN,3242,0.045,0.0039,163.22,0.333,low
merch_f9469ea7b69e,travel,811,GB,3083,0.0347,0.0045,66.5,0.1572,medium
merch_ac327ec2d34a,financial_services,1560,AE,2584,0.0039,0.0139,63.23,0.3332,medium
merch_831e7b331df5,financial_services,2500,DE,2495,0.0533,0.01,98.24,0.0378,medium
merch_858a5a1f9bb5,electronics,500,US,3319,0.0749,0.006,159.3,0.2302,low
merch_eede2ac4420d,gift_cards,2690,US,3392,0.035,0.0005,235.28,0.2288,medium
merch_dd231e7cfe3c,financial_services,44,GB,11,0.1286,0.0493,516.43,0.938,medium
merch_dd32ab05d6c6,digital_goods,301,DE,246,0.0382,0.045,594.96,0.739,medium
merch_a2b558c64a1e,marketplace,400,US,180,0.1206,0.0709,324.19,0.3686,low
merch_4c45cd5358b5,travel,929,DE,712,0.0101,0.0094,230.01,0.2085,medium
merch_ee3250b4e3a4,travel,267,IN,185,0.0759,0.0546,393.65,0.4128,medium
merch_7758c3c6351c,travel,1174,US,422,0.0745,0.003,103.69,0.0749,low
merch_a5e8e04d229b,gift_cards,1017,SG,382,0.0526,0.0797,194.05,1.6815,high
merch_cfe9cce177da,retail,3559,IN,933,0.0055,0.0074,87.16,0.0195,low
merch_1bb3466ddff3,digital_goods,1231,AE,791,0.0587,0.0127,135.4,0.1631,medium
merch_f1ae8a235128,retail,1579,IN,1032,0.0412,0.0032,187.79,0.1315,low
merch_8ae938094ea4,digital_goods,189,GB,116,0.0425,0.0081,187.3,0.1969,low
merch_4c9c3adbc462,gift_cards,747,AE,276,0.1422,0.0378,481.12,0.9541,high
merch_7a7be5c204bf,marketplace,111,GB,69,0.1511,0.0536,556.13,1.0338,low
merch_02d80e1f64b5,digital_goods,755,DE,574,0.0719,0.0105,480.88,1.7692,medium
merch_ab1c533f51f7,electronics,4548,IN,2143,0.0673,0.007,23.44,0.2482,low
merch_b9101c3a8924,financial_services,3593,AE,2990,0.0438,0.0014,200.89,0.3323,low
merch_ff11e1f73122,marketplace,1026,IN,394,0.1513,0.0197,360.51,0.6923,medium
merch_035de9668002,gift_cards,583,SG,229,0.0109,0.0022,23.99,0.1221,medium
merch_36de779d1b01,marketplace,1462,GB,597,0.0155,0.0088,164.43,0.0803,medium
merch_80166bb6f76a,gift_cards,1092,US,334,0.0531,0.0401,489.94,0.9291,low
merch_c55e0e939d1c,financial_services,735,US,133,0.0335,0.0143,165.58,0.0794,low
merch_220de2527ce6,financial_services,4498,DE,462,0.0485,0.0051,226.42,0.0198,low
merch_0cc6c4f315a2,financial_services,1229,GB,658,0.035,0.066,262.44,0.4157,medium
merch_e2e74798ae75,financial_services,189,AE,46,0.0019,0.0104,129.42,0.3297,low
merch_9fd3056c7c41,financial_services,3857,DE,2099,0.0277,0.0013,94.51,0.1888,low
