transaction_id,event_time,amount,currency,channel,rail,transaction_type,status,customer_id,merchant_id,device_id,session_id,ip_address,billing_country,shipping_country,merchant_category,payment_method_type,auth_result,risk_score,label,attack_id,attack_bucket,attack_subtype,scenario_id
txn_a0545b1f3593,2026-08-17T00:00:00+00:00,23.39,USD,ecommerce,wallet,purchase,approved,cust_a0545b1f3593,merch_a0545b1f3593,dev_a0545b1f3593,sess_a0545b1f3593,198.51.100.13,AE,AE,digital_goods,credit_card,approved,0.1769,0,,,,
txn_41d42f2738e7,2026-08-17T00:20:00+00:00,38.09,SGD,ecommerce,wallet,purchase,approved,cust_a0545b1f3593,merch_41d42f2738e7,dev_a0545b1f3593,sess_41d42f2738e7,198.51.100.100,IN,IN,financial_services,credit_card,approved,0.2689,0,,,,
txn_a703bf8e1397,2026-08-17T00:38:00+00:00,16.95,USD,mobile_app,p2p,purchase,approved,cust_a0545b1f3593,merch_a703bf8e1397,dev_a0545b1f3593,sess_a703bf8e1397,198.51.100.116,GB,GB,marketplace,credit_card,approved,0.2129,0,,,,
txn_fd19060fa6cd,2026-08-17T01:15:00+00:00,37.89,GBP,ecommerce,card,purchase,approved,cust_a0545b1f3593,merch_fd19060fa6cd,dev_a0545b1f3593,sess_fd19060fa6cd,198.51.100.95,DE,DE,travel,wallet,approved,0.1539,0,,,,
txn_86a400a5897e,2026-08-17T00:40:00+00:00,48.82,INR,marketplace,card,purchase,approved,cust_41d42f2738e7,merch_86a400a5897e,dev_a0545b1f3593,sess_86a400a5897e,198.51.100.67,AE,AE,digital_goods,debit_card,approved,0.1587,0,,,,
txn_4fb59943b19a,2026-08-17T02:00:00+00:00,43.77,EUR,mobile_app,card,purchase,approved,cust_41d42f2738e7,merch_4fb59943b19a,dev_41d42f2738e7,sess_4fb59943b19a,198.51.100.201,SG,SG,digital_goods,credit_card,approved,0.2399,0,,,,
txn_a700c28d743c,2026-08-17T02:30:00+00:00,36.94,USD,marketplace,wallet,purchase,approved,cust_41d42f2738e7,merch_a700c28d743c,dev_41d42f2738e7,sess_a700c28d743c,198.51.100.18,DE,DE,retail,debit_card,approved,0.0792,0,,,,
txn_89560ffc8d2b,2026-08-17T02:20:00+00:00,182.48,USD,mobile_app,p2p,purchase,approved,cust_41d42f2738e7,merch_89560ffc8d2b,dev_41d42f2738e7,sess_89560ffc8d2b,198.51.100.58,US,US,digital_goods,debit_card,approved,0.05,0,,,,
txn_5a0036c081fc,2026-08-17T00:56:00+00:00,15.1,SGD,marketplace,wallet,purchase,approved,cust_a703bf8e1397,merch_5a0036c081fc,dev_41d42f2738e7,sess_5a0036c081fc,198.51.100.66,IN,IN,travel,wallet,approved,0.2642,0,,,,
txn_a84ae569ea6c,2026-08-17T01:12:00+00:00,22.32,USD,marketplace,card,purchase,approved,cust_a703bf8e1397,merch_a84ae569ea6c,dev_41d42f2738e7,sess_a84ae569ea6c,198.51.100.128,DE,DE,financial_services,debit_card,approved,0.2261,0,,,,
txn_c097b3f2f1ba,2026-08-17T02:20:00+00:00,94.53,GBP,ecommerce,p2p,purchase,approved,cust_a703bf8e1397,merch_c097b3f2f1ba,dev_a703bf8e1397,sess_c097b3f2f1ba,198.51.100.37,SG,SG,electronics,credit_card,approved,0.0911,0,,,,
txn_bd970e8cd1db,2026-08-17T03:51:00+00:00,37.64,SGD,marketplace,wallet,purchase,approved,cust_a703bf8e1397,merch_bd970e8cd1db,dev_a703bf8e1397,sess_bd970e8cd1db,198.51.100.165,AE,AE,retail,wallet,approved,0.1564,0,,,,
txn_031519546e21,2026-08-17T04:24:00+00:00,63.63,GBP,ecommerce,card,purchase,approved,cust_fd19060fa6cd,merch_031519546e21,dev_a703bf8e1397,sess_031519546e21,198.51.100.137,IN,IN,retail,debit_card,approved,0.1685,0,,,,
txn_3c878ac1934d,2026-08-17T03:02:00+00:00,72.39,USD,marketplace,wallet,purchase,approved,cust_fd19060fa6cd,merch_3c878ac1934d,dev_a703bf8e1397,sess_3c878ac1934d,198.51.100.35,GB,GB,digital_goods,bank_account,approved,0.2572,0,,,,
txn_edda4c1c33e3,2026-08-17T04:54:00+00:00,27.59,EUR,mobile_app,card,purchase,approved,cust_fd19060fa6cd,merch_edda4c1c33e3,dev_a703bf8e1397,sess_edda4c1c33e3,198.51.100.233,IN,IN,financial_services,debit_card,approved,0.1221,0,,,,
txn_6cf8c2b99854,2026-08-17T06:00:00+00:00,41.97,INR,ecommerce,card,purchase,approved,cust_fd19060fa6cd,merch_6cf8c2b99854,dev_fd19060fa6cd,sess_6cf8c2b99854,198.51.100.98,SG,SG,digital_goods,bank_account,approved,0.0812,0,,,,
txn_b9313e6e2e4b,2026-08-17T05:52:00+00:00,18.27,SGD,wallet,wallet,purchase,approved,cust_86a400a5897e,merch_b9313e6e2e4b,dev_fd19060fa6cd,sess_b9313e6e2e4b,198.51.100.148,US,US,travel,credit_card,approved,0.0953,0,,,,
txn_7c53b6ce6527,2026-08-17T05:57:00+00:00,22.59,INR,ecommerce,card,purchase,approved,cust_86a400a5897e,merch_7c53b6ce6527,dev_fd19060fa6cd,sess_7c53b6ce6527,198.51.100.233,SG,SG,marketplace,debit_card,approved,0.2416,0,,,,
txn_08465652a487,2026-08-17T06:18:00+00:00,15.2,USD,wallet,wallet,purchase,approved,cust_86a400a5897e,merch_a0545b1f3593,dev_fd19060fa6cd,sess_08465652a487,198.51.100.232,US,US,gift_cards,credit_card,approved,0.0548,0,,,,
txn_dc00de623299,2026-08-17T06:58:00+00:00,42.61,SGD,wallet,card,purchase,approved,cust_86a400a5897e,merch_41d42f2738e7,dev_fd19060fa6cd,sess_dc00de623299,198.51.100.82,GB,GB,retail,debit_card,approved,0.0936,0,,,,
txn_24550bdfdbb5,2026-08-17T07:00:00+00:00,46.92,SGD,wallet,p2p,purchase,approved,cust_4fb59943b19a,merch_a703bf8e1397,dev_86a400a5897e,sess_24550bdfdbb5,198.51.100.104,AE,AE,travel,credit_card,approved,0.2161,0,,,,
txn_507118b14732,2026-08-17T07:21:00+00:00,39.66,SGD,marketplace,wallet,purchase,approved,cust_4fb59943b19a,merch_fd19060fa6cd,dev_86a400a5897e,sess_507118b14732,198.51.100.165,DE,DE,travel,bank_account,approved,0.0375,0,,,,
txn_fb0712859094,2026-08-17T04:24:00+00:00,27.05,EUR,marketplace,wallet,purchase,approved,cust_4fb59943b19a,merch_86a400a5897e,dev_86a400a5897e,sess_fb0712859094,198.51.100.48,IN,IN,travel,credit_card,approved,0.2227,0,,,,
txn_e0d6f555ead8,2026-08-17T02:41:00+00:00,33.55,SGD,marketplace,wallet,purchase,approved,cust_4fb59943b19a,merch_4fb59943b19a,dev_86a400a5897e,sess_e0d6f555ead8,198.51.100.91,US,US,financial_services,credit_card,approved,0.0497,0,,,,
txn_f22d2f38e7f2,2026-08-17T10:00:00+00:00,17.87,INR,wallet,wallet,purchase,approved,cust_a700c28d743c,merch_a700c28d743c,dev_86a400a5897e,sess_f22d2f38e7f2,198.51.100.46,SG,SG,electronics,wallet,approved,0.1915,0,,,,
txn_afc3eedad75b,2026-08-17T03:45:00+00:00,23.24,GBP,ecommerce,card,purchase,approved,cust_a700c28d743c,merch_89560ffc8d2b,dev_4fb59943b19a,sess_afc3eedad75b,198.51.100.117,GB,GB,retail,bank_account,approved,0.229,0,,,,
txn_fa4d56b17412,2026-08-17T06:30:00+00:00,47.18,INR,ecommerce,card,purchase,approved,cust_a700c28d743c,merch_5a0036c081fc,dev_4fb59943b19a,sess_fa4d56b17412,198.51.100.192,IN,IN,gift_cards,credit_card,approved,0.2341,0,,,,
txn_f28b4ce1807b,2026-08-17T05:51:00+00:00,10.99,USD,marketplace,wallet,purchase,approved,cust_a700c28d743c,merch_a84ae569ea6c,dev_4fb59943b19a,sess_f28b4ce1807b,198.51.100.64,US,US,marketplace,bank_account,approved,0.1597,0,,,,
txn_e61d8499aa0e,2026-08-17T07:56:00+00:00,48.81,GBP,marketplace,card,purchase,approved,cust_89560ffc8d2b,merch_c097b3f2f1ba,dev_4fb59943b19a,sess_e61d8499aa0e,198.51.100.62,DE,DE,travel,credit_card,approved,0.1888,0,,,,
txn_f84cf2fb17f7,2026-08-17T01:56:00+00:00,67.21,EUR,mobile_app,wallet,purchase,approved,cust_89560ffc8d2b,merch_bd970e8cd1db,dev_4fb59943b19a,sess_f84cf2fb17f7,198.51.100.235,SG,SG,gift_cards,debit_card,approved,0.2247,0,,,,
txn_bcdab0753187,2026-08-17T08:30:00+00:00,35.44,GBP,marketplace,card,purchase,approved,cust_89560ffc8d2b,merch_031519546e21,dev_a700c28d743c,sess_bcdab0753187,198.51.100.71,AE,AE,financial_services,bank_account,approved,0.0819,0,,,,
txn_c3a0402b6f01,2026-08-17T03:37:00+00:00,19.81,INR,mobile_app,card,purchase,approved,cust_89560ffc8d2b,merch_3c878ac1934d,dev_a700c28d743c,sess_c3a0402b6f01,198.51.100.7,SG,SG,retail,bank_account,approved,0.264,0,,,,
txn_ad954d59c9e9,2026-08-17T06:56:00+00:00,8.18,EUR,ecommerce,wallet,purchase,approved,cust_5a0036c081fc,merch_edda4c1c33e3,dev_a700c28d743c,sess_ad954d59c9e9,198.51.100.253,US,US,electronics,bank_account,approved,0.2357,0,,,,
txn_edec3961f5ae,2026-08-17T11:00:00+00:00,52.32,INR,marketplace,p2p,purchase,approved,cust_5a0036c081fc,merch_6cf8c2b99854,dev_a700c28d743c,sess_edec3961f5ae,198.51.100.184,US,US,travel,debit_card,approved,0.0483,0,,,,
txn_1997e7a7051a,2026-08-17T07:22:00+00:00,125.89,EUR,mobile_app,card,purchase,approved,cust_5a0036c081fc,merch_b9313e6e2e4b,dev_a700c28d743c,sess_1997e7a7051a,198.51.100.31,IN,IN,travel,credit_card,approved,0.1302,0,,,,
txn_721908612a6f,2026-08-17T03:30:00+00:00,70.78,USD,marketplace,p2p,purchase,approved,cust_5a0036c081fc,merch_7c53b6ce6527,dev_89560ffc8d2b,sess_721908612a6f,198.51.100.158,AE,AE,digital_goods,credit_card,approved,0.1283,0,,,,
txn_7644dc50f04c,2026-08-17T09:36:00+00:00,69.18,GBP,marketplace,p2p,purchase,approved,cust_a84ae569ea6c,merch_a0545b1f3593,dev_89560ffc8d2b,sess_7644dc50f04c,198.51.100.120,DE,DE,gift_cards,bank_account,approved,0.2614,0,,,,
txn_560d9aa6b400,2026-08-17T11:06:00+00:00,14.56,USD,marketplace,wallet,purchase,approved,cust_a84ae569ea6c,merch_41d42f2738e7,dev_89560ffc8d2b,sess_560d9aa6b400,198.51.100.37,AE,AE,gift_cards,debit_card,approved,0.2739,0,,,,
txn_ac49afbb82cf,2026-08-17T14:34:00+00:00,48.36,EUR,marketplace,p2p,purchase,approved,cust_a84ae569ea6c,merch_a703bf8e1397,dev_89560ffc8d2b,sess_ac49afbb82cf,198.51.100.129,SG,SG,digital_goods,bank_account,approved,0.1821,0,,,,
txn_a47a850209a2,2026-08-17T14:18:00+00:00,56.33,GBP,marketplace,card,purchase,approved,cust_a84ae569ea6c,merch_fd19060fa6cd,dev_89560ffc8d2b,sess_a47a850209a2,198.51.100.154,DE,DE,marketplace,credit_card,approved,0.1135,0,,,,
txn_409b838b09c6,2026-08-17T09:20:00+00:00,5.37,USD,ecommerce,card,purchase,approved,cust_c097b3f2f1ba,merch_86a400a5897e,dev_5a0036c081fc,sess_409b838b09c6,198.51.100.39,US,US,gift_cards,credit_card,approved,0.1902,0,,,,
