attack_subtype,row_count,positive_count,negative_count,threshold,precision,recall,f1,accuracy,false_positive_rate,true_positive,true_negative,false_positive,false_negative,roc_auc,pr_auc
ai_impersonation,7,7,0,0.21,1.0,0.857143,0.923077,0.857143,0.0,6,0,0,1,0.0,1.0
alternative_refund_abuse,7,7,0,0.21,1.0,0.857143,0.923077,0.857143,0.0,6,0,0,1,0.0,1.0
authorized_push_payment_scam,10,10,0,0.21,1.0,0.7,0.823529,0.7,0.0,7,0,0,3,0.0,1.0
benign,500,0,500,0.21,0.0,0.0,0.0,0.986,0.014,0,493,7,0,0.0,0.0
business_email_compromise,7,7,0,0.21,1.0,1.0,1.0,1.0,0.0,7,0,0,0,0.0,1.0
bust_out_merchant,108,108,0,0.21,1.0,1.0,1.0,1.0,0.0,108,0,0,0,0.0,1.0
card_not_present,33,33,0,0.21,1.0,1.0,1.0,1.0,0.0,33,0,0,0,0.0,1.0
card_testing,147,147,0,0.21,1.0,1.0,1.0,1.0,0.0,147,0,0,0,0.0,1.0
chargeback_fraud,9,9,0,0.21,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
consumer_account_takeover,12,12,0,0.21,1.0,1.0,1.0,1.0,0.0,12,0,0,0,0.0,1.0
credential_stuffing,283,283,0,0.21,1.0,1.0,1.0,1.0,0.0,283,0,0,0,0.0,1.0
executive_impersonation,3,3,0,0.21,1.0,0.666667,0.8,0.666667,0.0,2,0,0,1,0.0,1.0
fraudulent_merchant_onboarding,45,45,0,0.21,1.0,0.977778,0.988764,0.977778,0.0,44,0,0,1,0.0,1.0
gift_card_abuse,52,52,0,0.21,1.0,1.0,1.0,1.0,0.0,52,0,0,0,0.0,1.0
marketplace_seller_fraud,70,70,0,0.21,1.0,1.0,1.0,1.0,0.0,70,0,0,0,0.0,1.0
merchant_admin_takeover,8,8,0,0.21,1.0,1.0,1.0,1.0,0.0,8,0,0,0,0.0,1.0
mule_account_creation,65,65,0,0.21,1.0,1.0,1.0,1.0,0.0,65,0,0,0,0.0,1.0
mule_laundering,89,89,0,0.21,1.0,1.0,1.0,1.0,0.0,89,0,0,0,0.0,1.0
non_delivery_claim,11,11,0,0.21,1.0,0.818182,0.9,0.818182,0.0,9,0,0,2,0.0,1.0
refund_fraud,8,8,0,0.21,1.0,0.875,0.933333,0.875,0.0,7,0,0,1,0.0,1.0
return_policy_abuse,14,14,0,0.21,1.0,1.0,1.0,1.0,0.0,14,0,0,0,0.0,1.0
stolen_identity_signup,11,11,0,0.21,1.0,0.909091,0.952381,0.909091,0.0,10,0,0,1,0.0,1.0
synthetic_business,14,14,0,0.21,1.0,0.928571,0.962963,0.928571,0.0,13,0,0,1,0.0,1.0
synthetic_identity,15,15,0,0.21,1.0,0.866667,0.928572,0.866667,0.0,13,0,0,2,0.0,1.0
triangulation_fraud,44,44,0,0.21,1.0,0.977273,0.988506,0.977273,0.0,43,0,0,1,0.0,1.0
vendor_rerouting,9,9,0,0.21,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
