attack_subtype,row_count,positive_count,negative_count,threshold,precision,recall,f1,accuracy,false_positive_rate,true_positive,true_negative,false_positive,false_negative,roc_auc,pr_auc
ai_impersonation,7,7,0,0.05,1.0,1.0,1.0,1.0,0.0,7,0,0,0,0.0,1.0
alternative_refund_abuse,7,7,0,0.05,1.0,1.0,1.0,1.0,0.0,7,0,0,0,0.0,1.0
authorized_push_payment_scam,11,11,0,0.05,1.0,1.0,1.0,1.0,0.0,11,0,0,0,0.0,1.0
benign,100,0,100,0.05,0.0,0.0,0.0,1.0,0.0,0,100,0,0,0.0,0.0
business_email_compromise,7,7,0,0.05,1.0,1.0,1.0,1.0,0.0,7,0,0,0,0.0,1.0
bust_out_merchant,103,103,0,0.05,1.0,1.0,1.0,1.0,0.0,103,0,0,0,0.0,1.0
card_not_present,28,28,0,0.05,1.0,1.0,1.0,1.0,0.0,28,0,0,0,0.0,1.0
card_testing,152,152,0,0.05,1.0,1.0,1.0,1.0,0.0,152,0,0,0,0.0,1.0
chargeback_fraud,18,18,0,0.05,1.0,1.0,1.0,1.0,0.0,18,0,0,0,0.0,1.0
consumer_account_takeover,17,17,0,0.05,1.0,1.0,1.0,1.0,0.0,17,0,0,0,0.0,1.0
credential_stuffing,314,314,0,0.05,1.0,1.0,1.0,1.0,0.0,314,0,0,0,0.0,1.0
executive_impersonation,4,4,0,0.05,1.0,1.0,1.0,1.0,0.0,4,0,0,0,0.0,1.0
fraudulent_merchant_onboarding,30,30,0,0.05,1.0,1.0,1.0,1.0,0.0,30,0,0,0,0.0,1.0
gift_card_abuse,48,48,0,0.05,1.0,1.0,1.0,1.0,0.0,48,0,0,0,0.0,1.0
marketplace_seller_fraud,55,55,0,0.05,1.0,1.0,1.0,1.0,0.0,55,0,0,0,0.0,1.0
merchant_admin_takeover,7,7,0,0.05,1.0,1.0,1.0,1.0,0.0,7,0,0,0,0.0,1.0
mule_account_creation,50,50,0,0.05,1.0,1.0,1.0,1.0,0.0,50,0,0,0,0.0,1.0
mule_laundering,133,133,0,0.05,1.0,1.0,1.0,1.0,0.0,133,0,0,0,0.0,1.0
non_delivery_claim,13,13,0,0.05,1.0,1.0,1.0,1.0,0.0,13,0,0,0,0.0,1.0
refund_fraud,11,11,0,0.05,1.0,1.0,1.0,1.0,0.0,11,0,0,0,0.0,1.0
return_policy_abuse,15,15,0,0.05,1.0,1.0,1.0,1.0,0.0,15,0,0,0,0.0,1.0
stolen_identity_signup,14,14,0,0.05,1.0,1.0,1.0,1.0,0.0,14,0,0,0,0.0,1.0
synthetic_business,8,8,0,0.05,1.0,1.0,1.0,1.0,0.0,8,0,0,0,0.0,1.0
synthetic_identity,14,14,0,0.05,1.0,1.0,1.0,1.0,0.0,14,0,0,0,0.0,1.0
triangulation_fraud,42,42,0,0.05,1.0,1.0,1.0,1.0,0.0,42,0,0,0,0.0,1.0
vendor_rerouting,8,8,0,0.05,1.0,1.0,1.0,1.0,0.0,8,0,0,0,0.0,1.0
