transaction_id,fraud_score,prediction,ml_fraud_score,ml_prediction,decision_engine,llm_reviewed,llm_provider,llm_semantic_risk_score,llm_novelty_score,llm_recommendation,llm_rationale,llm_risk_indicators,llm_fallback,label,attack_bucket,attack_subtype,reason_codes
txn_3429829990e4,0.5933172796786423,1,0.593317,1,ml_only,0,,,,,,,,0,,,high generated risk score raises risk;session velocity lowers risk;IP velocity lowers risk
txn_ad0813a7c379,0.336537,1,0.313624,0,hybrid_ml_llm,1,local_lmstudio,0.39,0.56,review,"The transaction is novel but not highly suspicious. The customer has only made one transaction in the past, and the amount is relatively low. However, the device IP reputation score is slightly negative.",low customer transaction count;negative device ip reputation score,,0,,,session velocity lowers risk;customer one-hour velocity lowers risk;customer payment cadence raises risk
txn_4a508a0dee9d,0.42789575569752475,1,0.427896,1,ml_only,0,,,,,,,,0,,,session velocity lowers risk;IP velocity lowers risk;high generated risk score raises risk
txn_dd3088364553,0.35335675642104647,1,0.353357,1,ml_only,0,,,,,,,,0,,,session velocity lowers risk;merchant growth pattern lowers risk;customer one-hour velocity lowers risk
txn_151c77fa3825,0.3746983497853504,1,0.374698,1,ml_only,0,,,,,,,,0,,,session velocity lowers risk;IP velocity lowers risk;customer one-hour velocity lowers risk
txn_9923e56a756d,0.37802068481168644,1,0.378021,1,ml_only,0,,,,,,,,0,,,session velocity lowers risk;customer_historical_spend_mean lowers risk;customer payment cadence raises risk
txn_38a966de482a,0.22909765078393718,0,0.229098,0,ml_only,0,,,,,,,,1,credential_based_fraud,card_testing,customer payment cadence lowers risk;session velocity lowers risk;IP velocity lowers risk
txn_920e9f1dbfd7,0.299222,0,0.320317,1,hybrid_ml_llm,1,local_lmstudio,0.25,0.15,review,"The transaction involves a new merchant with no prior transactions and a customer account with no prior activity, which is unusual but not necessarily suspicious. The device and IP address have low risk scores, but the lack of prior transactions raises some concerns.",new_merchant;no_prior_transactions,,1,credential_based_fraud,card_not_present,customer payment cadence lowers risk;high generated risk score lowers risk;merchant chargeback behavior raises risk
txn_0382cb5e83ff,0.04860169557783948,0,0.048602,0,ml_only,0,,,,,,,,1,credential_based_fraud,consumer_account_takeover,customer payment cadence lowers risk;customer_historical_spend_mean lowers risk;session velocity lowers risk
txn_82557b0fc002,0.2355345779501269,0,0.235535,0,ml_only,0,,,,,,,,1,credential_based_fraud,consumer_account_takeover,customer_historical_spend_mean lowers risk;customer one-hour velocity lowers risk;device history lowers risk
txn_e4070b1b405e,0.2843054060006824,0,0.284305,0,ml_only,0,,,,,,,,1,credential_based_fraud,consumer_account_takeover,customer_historical_spend_mean lowers risk;session velocity lowers risk;device history lowers risk
txn_1076939a907f,0.004138042945173856,0,0.004138,0,ml_only,0,,,,,,,,1,credential_based_fraud,merchant_admin_takeover,transaction_type_code lowers risk;customer payment cadence lowers risk;customer_historical_spend_mean lowers risk
txn_4a840eb1b203,0.013364584487883718,0,0.013365,0,ml_only,0,,,,,,,,1,credential_based_fraud,merchant_admin_takeover,transaction_type_code lowers risk;customer_historical_spend_mean lowers risk;payment_method_type_code lowers risk
