attack_subtype,row_count,positive_count,negative_count,threshold,precision,recall,f1,accuracy,false_positive_rate,true_positive,true_negative,false_positive,false_negative,roc_auc,pr_auc
ai_impersonation,9,9,0,0.32,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
alternative_refund_abuse,9,9,0,0.32,1.0,0.888889,0.941177,0.888889,0.0,8,0,0,1,0.0,1.0
authorized_push_payment_scam,11,11,0,0.32,1.0,1.0,1.0,1.0,0.0,11,0,0,0,0.0,1.0
benign,500,0,500,0.32,0.0,0.0,0.0,0.988,0.012,0,494,6,0,0.0,0.0
business_email_compromise,6,6,0,0.32,1.0,1.0,1.0,1.0,0.0,6,0,0,0,0.0,1.0
bust_out_merchant,64,64,0,0.32,1.0,0.984375,0.992126,0.984375,0.0,63,0,0,1,0.0,1.0
card_not_present,29,29,0,0.32,1.0,0.965517,0.982456,0.965517,0.0,28,0,0,1,0.0,1.0
card_testing,102,102,0,0.32,1.0,0.990196,0.995074,0.990196,0.0,101,0,0,1,0.0,1.0
chargeback_fraud,10,10,0,0.32,1.0,1.0,1.0,1.0,0.0,10,0,0,0,0.0,1.0
consumer_account_takeover,16,16,0,0.32,1.0,0.8125,0.896552,0.8125,0.0,13,0,0,3,0.0,1.0
credential_stuffing,294,294,0,0.32,1.0,0.989796,0.994872,0.989796,0.0,291,0,0,3,0.0,1.0
executive_impersonation,4,4,0,0.32,1.0,0.75,0.857143,0.75,0.0,3,0,0,1,0.0,1.0
fraudulent_merchant_onboarding,52,52,0,0.32,1.0,0.980769,0.990291,0.980769,0.0,51,0,0,1,0.0,1.0
gift_card_abuse,74,74,0,0.32,1.0,1.0,1.0,1.0,0.0,74,0,0,0,0.0,1.0
marketplace_seller_fraud,37,37,0,0.32,1.0,1.0,1.0,1.0,0.0,37,0,0,0,0.0,1.0
merchant_admin_takeover,9,9,0,0.32,1.0,0.111111,0.2,0.111111,0.0,1,0,0,8,0.0,1.0
mule_account_creation,57,57,0,0.32,1.0,1.0,1.0,1.0,0.0,57,0,0,0,0.0,1.0
mule_laundering,127,127,0,0.32,1.0,1.0,1.0,1.0,0.0,127,0,0,0,0.0,1.0
non_delivery_claim,9,9,0,0.32,1.0,1.0,1.0,1.0,0.0,9,0,0,0,0.0,1.0
refund_fraud,8,8,0,0.32,1.0,0.875,0.933333,0.875,0.0,7,0,0,1,0.0,1.0
return_policy_abuse,15,15,0,0.32,1.0,0.933333,0.965517,0.933333,0.0,14,0,0,1,0.0,1.0
stolen_identity_signup,21,21,0,0.32,1.0,0.952381,0.97561,0.952381,0.0,20,0,0,1,0.0,1.0
synthetic_business,11,11,0,0.32,1.0,0.909091,0.952381,0.909091,0.0,10,0,0,1,0.0,1.0
synthetic_identity,13,13,0,0.32,1.0,1.0,1.0,1.0,0.0,13,0,0,0,0.0,1.0
triangulation_fraud,30,30,0,0.32,1.0,1.0,1.0,1.0,0.0,30,0,0,0,0.0,1.0
vendor_rerouting,6,6,0,0.32,1.0,0.833333,0.909091,0.833333,0.0,5,0,0,1,0.0,1.0
