transaction_id,amount,risk_score,event_hour,billing_shipping_mismatch,customer_transaction_count,merchant_transaction_count,device_transaction_count,session_transaction_count,ip_transaction_count,customer_account_age_days,customer_historical_decline_rate,customer_historical_spend_mean,merchant_age_days,merchant_refund_rate,merchant_chargeback_rate,merchant_volume_growth_rate,device_ip_reputation_score,device_first_seen_days_ago,device_failed_login_count,label,attack_bucket,attack_subtype,currency_code,channel_code,rail_code,transaction_type_code,status_code,billing_country_code,shipping_country_code,merchant_category_code,payment_method_type_code,auth_result_code
txn_a0545b1f3593,23.39,0.1769,0,0,4,6,5,1,1,2608.0,0.018,255.6,702.0,0.0103,0.0037,0.0101,0.1465,1174.0,1.0,0,,,4,4,4,1,0,0,0,0,1,0
txn_41d42f2738e7,38.09,0.2689,0,0,4,6,5,1,1,2608.0,0.018,255.6,957.0,0.0668,0.0085,0.1282,0.1465,1174.0,1.0,0,,,3,4,4,1,0,3,3,2,1,0
txn_a703bf8e1397,16.95,0.2129,0,0,4,6,5,1,1,2608.0,0.018,255.6,2163.0,0.0031,0.0129,0.0444,0.1465,1174.0,1.0,0,,,4,8,3,1,0,2,2,4,1,0
txn_fd19060fa6cd,37.89,0.1539,1,0,4,6,5,1,1,2608.0,0.018,255.6,2702.0,0.0467,0.001,0.174,0.1465,1174.0,1.0,0,,,1,4,1,1,0,1,1,6,3,0
txn_86a400a5897e,48.82,0.1587,0,0,4,6,5,1,1,148.0,0.0612,74.05,2177.0,0.0159,0.0085,0.09,0.1465,1174.0,1.0,0,,,2,6,1,1,0,0,0,0,2,0
txn_4fb59943b19a,43.77,0.2399,2,0,4,6,5,1,1,148.0,0.0612,74.05,1001.0,0.0496,0.0056,0.1277,0.1924,1349.0,0.0,0,,,0,8,1,1,0,4,4,0,1,0
txn_a700c28d743c,36.94,0.0792,2,0,4,6,5,1,1,148.0,0.0612,74.05,974.0,0.0113,0.0021,0.1557,0.1924,1349.0,0.0,0,,,4,6,4,1,0,1,1,5,2,0
txn_89560ffc8d2b,182.48,0.05,2,0,4,6,5,1,1,148.0,0.0612,74.05,4860.0,0.0355,0.0045,0.1789,0.1924,1349.0,0.0,0,,,4,8,3,1,0,5,5,0,2,0
txn_5a0036c081fc,15.1,0.2642,0,0,4,6,5,1,1,2404.0,0.0278,239.77,2304.0,0.0686,0.0013,0.3269,0.1924,1349.0,0.0,0,,,3,6,4,1,0,3,3,6,3,0
txn_a84ae569ea6c,22.32,0.2261,1,0,4,6,5,1,2,2404.0,0.0278,239.77,241.0,0.0088,0.0115,0.1826,0.1924,1349.0,0.0,0,,,4,6,1,1,0,1,1,2,2,0
txn_c097b3f2f1ba,94.53,0.0911,2,0,4,5,5,1,2,2404.0,0.0278,239.77,1377.0,0.0346,0.0008,0.0827,0.22,656.0,0.0,0,,,1,4,3,1,0,4,4,1,1,0
txn_bd970e8cd1db,37.64,0.1564,3,0,4,5,5,1,2,2404.0,0.0278,239.77,3184.0,0.0548,0.0086,0.1698,0.22,656.0,0.0,0,,,3,6,4,1,0,0,0,5,3,0
txn_031519546e21,63.63,0.1685,4,0,4,5,5,1,1,2806.0,0.0331,152.97,4316.0,0.0433,0.0043,0.0975,0.22,656.0,0.0,0,,,1,4,1,1,0,3,3,5,2,0
txn_3c878ac1934d,72.39,0.2572,3,0,4,5,5,1,1,2806.0,0.0331,152.97,2401.0,0.0636,0.0067,0.3377,0.22,656.0,0.0,0,,,4,6,4,1,0,2,2,0,0,0
